2024-05-23 16:36:01,653 DEBUG:Logger has been configured and this is a test message.
2024-05-23 16:36:01,774 INFO:ROS node initialized.
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,485 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,486 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,486 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,486 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:03,486 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,486 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,492 INFO:Published 'not pass' message.
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.74
2024-05-23 16:36:03,668 INFO:Class detected: car, with confidence: 0.73
2024-05-23 16:36:03,669 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,669 INFO:Class detected: car, with confidence: 0.45
2024-05-23 16:36:03,669 INFO:Class detected: car, with confidence: 0.4
2024-05-23 16:36:03,669 INFO:Class detected: truck, with confidence: 0.34
2024-05-23 16:36:03,669 INFO:Class detected: car, with confidence: 0.26
2024-05-23 16:36:03,675 INFO:Published 'not pass' message.
2024-05-23 16:36:03,807 INFO:Class detected: car, with confidence: 0.95
2024-05-23 16:36:03,807 INFO:Class detected: car, with confidence: 0.89
2024-05-23 16:36:03,807 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,807 INFO:Class detected: car, with confidence: 0.76
2024-05-23 16:36:03,807 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,807 INFO:Class detected: car, with confidence: 0.75
2024-05-23 16:36:03,808 INFO:Class detected: car, with confidence: 0.72
2024-05-23 16:36:03,808 INFO:Class detected: car, with confidence: 0.7
2024-05-23 16:36:03,808 INFO:Class detected: car, with confidence: 0.45
